X_TWD97,Y_TWD97,gwl_drop
179809.178,2601454.369,4.406415238
163427.238,2614692.311,1.130007729
213611.039,2629610.268,4.934369927
175734.189,2616664.308,3.176297886
189077,2626516,0.729684593
205809.072,2615726.32,5.576269054
206194.06,2665352.132,1.149014252
206404.066,2634084.249,3.704332871
166296.223,2624345.275,0.64007442
183509.158,2620469.296,1.526534079
192114.123,2623483.287,2.320105546
205180.008,2631107.104,2.061581755
202850.084,2612172.333,1.600313747
205425,2629497,2.355717868
188849.138,2614664.32,1.511868339
168314.218,2616814.305,5.756063729
209761.053,2634600.248,3.706504702
197744.105,2611388.335,6.167675482
207804.6,2644287,0.623750258
207917.059,2638982.231,2.026393586
201874.081,2643074.214,0.355070269
190949.118,2656044.163,0.527082995
200229.093,2617202.313,0.797245315
209029.458,2629304.464,2.245487482
203398.92,2635525.803,1.949993957
216413.027,2638534.234,7.986249215
219329.016,2634194.251,2.800462896
208123.441,2630803.549,5.08206194
218111.022,2628814.272,2.496582809
